Key,Id,English(en),Japanese(ja),Chinese (Simplified)(zh-Hans),Chinese (Traditional)(zh-TW),French(fr),German(de),Italian(it),Portuguese(pt),Spanish(es),Korean(ko),Russian(ru)
"When you go to sleep at night, furniture may drop materials.",,"When you go to sleep at night, furniture may drop materials.",,,,,,,,,,
Looks like you're starting to understand how to place things. How high can you stack them...?,,Looks like you're starting to understand how to place things. How high can you stack them...?,,,,,,,,,,
It’s easy to forget you can flip furniture with the O key.,,It’s easy to forget you can flip furniture with the O key.,,,,,,,,,,
"You can also rotate while holding Shift! Good to know, right?",,"You can also rotate while holding Shift! Good to know, right?",,,,,,,,,,
You can place things on walls and even ceilings. Did you know that?,,You can place things on walls and even ceilings. Did you know that?,,,,,,,,,,
Nice. It feels like time has started to slow down.,,Nice. It feels like time has started to slow down.,,,,,,,,,,
"It’s lively, but not noisy. A cozy kind of clutter.",,"It’s lively, but not noisy. A cozy kind of clutter.",,,,,,,,,,
It feels like memories are piling up. You’ve been here a long time.,,It feels like memories are piling up. You’ve been here a long time.,,,,,,,,,,
It’s full of things. So lively. I’m happy.,,It’s full of things. So lively. I’m happy.,,,,,,,,,,
You can craft furniture too.,,You can craft furniture too.,,,,,,,,,,
I want more plants...,,I want more plants...,,,,,,,,,,
"Wall plants are stylish too, aren’t they?",,"Wall plants are stylish too, aren’t they?",,,,,,,,,,
I wonder how many kinds of flowers there are?,,I wonder how many kinds of flowers there are?,,,,,,,,,,
You can change the color of flower pots too!,,You can change the color of flower pots too!,,,,,,,,,,
"Leaving just a flower pot by itself works too, you know.",,"Leaving just a flower pot by itself works too, you know.",,,,,,,,,,
It’s full of green. Makes you want to take a deep breath here.,,It’s full of green. Makes you want to take a deep breath here.,,,,,,,,,,
Putting flowers on the balcony is nice too.,,Putting flowers on the balcony is nice too.,,,,,,,,,,
The building is covered in green now. Thanks for placing so many.,,The building is covered in green now. Thanks for placing so many.,,,,,,,,,,
You’re running low on money... Can you pay the rent...?,,You’re running low on money... Can you pay the rent...?,,,,,,,,,,
Money’s getting tight... Maybe sell some furniture to get by...,,Money’s getting tight... Maybe sell some furniture to get by...,,,,,,,,,,
"With this much money, you can get through a month.",,"With this much money, you can get through a month.",,,,,,,,,,
That’s enough to start dreaming a little. Maybe that furniture is within reach.,,That’s enough to start dreaming a little. Maybe that furniture is within reach.,,,,,,,,,,
You’re getting pretty reliable. The rooftop’s future is opening up.,,You’re getting pretty reliable. The rooftop’s future is opening up.,,,,,,,,,,
Can you buy every item!?,,Can you buy every item!?,,,,,,,,,,
Let’s just buy this whole building!,,Let’s just buy this whole building!,,,,,,,,,,
You’re almost completely free. Could you buy everything in the world!?,,You’re almost completely free. Could you buy everything in the world!?,,,,,,,,,,
"Amazing. But remember, what matters isn’t the numbers — it’s the time you spend here.",,"Amazing. But remember, what matters isn’t the numbers — it’s the time you spend here.",,,,,,,,,,
Have you gone to the basement yet?,,Have you gone to the basement yet?,,,,,,,,,,
Did you know you can run in this game?,,Did you know you can run in this game?,,,,,,,,,,
"When the building changes color, the whole mood shifts instantly!",,"When the building changes color, the whole mood shifts instantly!",,,,,,,,,,
"The camera controls are kind of complicated, huh?",,"The camera controls are kind of complicated, huh?",,,,,,,,,,
Sometimes a cat appears on the rooftop.,,Sometimes a cat appears on the rooftop.,,,,,,,,,,
"If you find materials on the stairs, that’s thanks to me.",,"If you find materials on the stairs, that’s thanks to me.",,,,,,,,,,
"Choosing outfits is tough, isn’t it?",,"Choosing outfits is tough, isn’t it?",,,,,,,,,,
I’m starting to get a little bored staying here so long...,,I’m starting to get a little bored staying here so long...,,,,,,,,,,
It took a long time to get this far...,,It took a long time to get this far...,,,,,,,,,,
Take me to all kinds of places!,,Take me to all kinds of places!,,,,,,,,,,
