Key,Id,English(en),Japanese(ja),Chinese (Simplified)(zh-Hans),Chinese (Traditional)(zh-TW),French(fr),German(de),Italian(it),Portuguese(pt),Spanish(es),Korean(ko),Russian(ru)
desc_branch,,A flexible friend from any nearby tree. Snaps only when offended.,そこらの木から来たフレンド。怒らせるとパキッと折れる。,来自附近树木的灵活朋友。被惹怒才会啪地折断。,來自附近樹木的靈活朋友。被惹怒才會啪地折斷。,Un ami flexible venu d'un arbre voisin. Ne casse que s'il est offensé.,"Ein flexibler Freund von einem nahen Baum. Bricht nur, wenn er beleidigt ist.",Un amico flessibile di un albero lì vicino. Si spezza solo se lo offendi.,Um amigo flexível de alguma árvore próxima. Só quebra quando é ofendido.,Un amigo flexible de algún árbol cercano. Solo se quiebra si lo ofendes.,근처 나무에서 온 유연한 친구. 화나게 하면 딱 부러진다.,Гибкий друг с ближайшего дерева. Ломается только если его обидеть.
desc_steel,,"Hard, cold, and always serious. A real no-joke material.",硬くて冷たくて真面目。笑わない素材代表。,坚硬、冰冷、一本正经。开不得玩笑的材料。,堅硬、冰冷、一本正經。開不得玩笑的材料。,"Dur, froid et toujours sérieux. Un matériau qui ne rigole pas.","Hart, kalt und immer ernst. Ein Material ohne Spaß.","Duro, freddo e sempre serio. Un materiale senza scherzi.","Duro, frio e sempre sério. Um material que não brinca.","Duro, frío y siempre serio. Un material sin bromas.",단단하고 차갑고 늘 진지하다. 농담이 통하지 않는 소재.,"Твёрдый, холодный и всегда серьёзный. Материал без шуток."
desc_leaf,,"Green, soft, and surprisingly durable for a plant.",緑で柔らかく、植物の割にけっこうタフ。,绿色、柔软，作为植物却意外耐用。,綠色、柔軟，作為植物卻意外耐用。,"Vert, doux et étonnamment résistant pour une plante.","Grün, weich und für eine Pflanze erstaunlich robust.","Verde, morbido e sorprendentemente resistente per una pianta.","Verde, macia e surpreendentemente resistente para uma planta.","Verde, suave y sorprendentemente resistente para ser una planta.",초록색이고 부드럽지만 식물치곤 꽤 튼튼하다.,"Зелёный, мягкий и удивительно прочный для растения."
desc_petal,,Delicate beauty. Crumbles when you brag about it.,繊細な美しさ。自慢するとすぐ散る。,精致的美。你一夸就碎。,精緻的美。你一誇就碎。,Beauté délicate. Se froisse quand on s'en vante.,"Zarte Schönheit. Zerfällt, wenn du damit prahlst.",Bellezza delicata. Si sbriciola se te ne vanti.,Beleza delicada. Se esfarela quando você se gaba.,Belleza delicada. Se desmorona si presumes de ella.,섬세한 아름다움. 자랑하면 바로 부서진다.,"Нежная красота. Рассыпается, когда ею хвастаются."
desc_paper,,The hero of office wars. Fear the papercut.,オフィス戦争の英雄。紙の切り傷は最強。,办公室战争的英雄。小心纸割。,辦公室戰爭的英雄。小心紙割。,Le héros des guerres de bureau. Crains la coupure de papier.,Der Held der Bürokriege. Fürchte den Papierschnitt.,L'eroe delle guerre d'ufficio. Temi il taglio di carta.,O herói das guerras de escritório. Tema o corte de papel.,El héroe de las guerras de oficina. Teme el corte de papel.,사무실 전쟁의 영웅. 종이 베임을 조심하라.,Герой офисных войн. Берегись бумажного пореза.
desc_cloth,,"Soft, versatile, and great at hiding stains…たぶん。",柔らかく万能。シミ隠しが得意…なはず。,柔软、百搭，还很会遮住污渍……大概。,柔軟、百搭，還很會遮住污漬……大概。,"Doux, polyvalent et très bon pour cacher les taches… enfin, je crois.","Weich, vielseitig und gut im Verstecken von Flecken… vermutlich.","Morbido, versatile e bravissimo a nascondere le macchie… forse.","Macio, versátil e ótimo para esconder manchas… acho.","Suave, versátil y buenísimo para ocultar manchas… creo.",부드럽고 다재다능하며 얼룩을 잘 숨긴다… 아마도.,"Мягкий, универсальный и отлично скрывает пятна… наверное."
desc_glass,,Transparent but dangerous to drop.,透明だが落とすと一瞬で裏切る。,透明，但掉了就危险。,透明，但掉了就危險。,"Transparent, mais dangereux à faire tomber.","Transparent, aber gefährlich, wenn man es fallen lässt.","Trasparente, ma pericoloso da far cadere.","Transparente, mas perigoso se cair.","Transparente, pero peligroso si se cae.",투명하지만 떨어뜨리면 위험하다.,"Прозрачный, но опасен при падении."
desc_leather,,Tough and stylish. Loved by rebels and sofas.,タフでお洒落。反逆者とソファの友。,结实又时髦。反叛者和沙发都爱。,結實又時髦。反叛者和沙發都愛。,Robuste et stylé. Adoré par les rebelles et les canapés.,Robust und stylisch. Von Rebellen und Sofas geliebt.,Resistente e alla moda. Amato da ribelli e divani.,Resistente e estiloso. Amado por rebeldes e sofás.,Resistente y con estilo. Amado por rebeldes y sofás.,튼튼하고 멋스럽다. 반항아와 소파가 좋아한다.,Прочный и стильный. Любим бунтарями и диванами.
desc_cotton,,Fluffy and breathable. Grandma approved.,ふんわり通気性抜群。おばあちゃんお墨付き。,蓬松透气。奶奶认证。,蓬鬆透氣。奶奶認證。,Moelleux et respirant. Approuvé par grand-mère.,Flauschig und atmungsaktiv. Von Oma abgesegnet.,Soffice e traspirante. Approvato dalla nonna.,Fofinho e respirável. Aprovado pela vovó.,Esponjoso y transpirable. Aprobado por la abuela.,보송보송하고 통기성 좋음. 할머니 인증.,Пушистый и дышащий. Одобрено бабушкой.
desc_fiber,,"Thin, strong, and suspiciously light.",薄くて強くて妙に軽い。,细、强，还轻得可疑。,細、強，還輕得可疑。,"Fin, solide et étrangement léger.","Dünn, stark und verdächtig leicht.","Sottile, resistente e sospettosamente leggero.","Fino, resistente e estranhamente leve.","Fina, resistente y sospechosamente ligera.",얇고 강하며 수상할 정도로 가볍다.,"Тонкий, прочный и подозрительно лёгкий."
