Key,Id,English(en),Japanese(ja),Chinese (Simplified)(zh-Hans),Chinese (Traditional)(zh-TW),French(fr),German(de),Italian(it),Portuguese(pt),Spanish(es),Korean(ko),Russian(ru)
StoryMode,,StoryMode,ストーリーモード,,,,,,,,,
CreativeMode,,CreativeMode,クリエイティブモード,,,,,,,,,
Language,,Language,言語,,,,,,,,,
Full Screen,,Full Screen,全画面,,,,,,,,,
Resolution,,Resolution,解像度,,,,,,,,,
SFX,,SFX,効果音,,,,,,,,,
BGM,,BGM,音楽,,,,,,,,,
Player Silhouette,,Player Silhouette,プレイヤーシルエット,,,,,,,,,
Wall Visibility,,Wall Visibility,壁の可視化,,,,,,,,,
Main menu,,Main menu,メインメニューへ,,,,,,,,,
Exit game,,Exit game,ゲームをおわる,,,,,,,,,
Place,,Place,配置,,,,,,,,,
Rotation,,Rotation,回転,,,,,,,,,
Mirror,,Mirror,反転,,,,,,,,,
Del,,Delete,削除,,,,,,,,,
Cancel,,Cancel,キャンセル,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Delete,,Delete,削除,,,,,,,,,
ConfirmDelete,,Are you sure you want to delete this data?,本当に削除しますか？,,,,,,,,,
Yes,,Yes,はい,,,,,,,,,
No,,No,いいえ,,,,,,,,,
Loading,,Loading,ロード中,,,,,,,,,
Start,,Start,スタート,,,,,,,,,
Slot1,,Slot1,スロット1,,,,,,,,,
Slot2,,Slot2,スロット2,,,,,,,,,
Slot3,,Slot3,スロット3,,,,,,,,,
Day,,Day,日にち,,,,,,,,,
Cozy,,Cozy,快適さ,,,,,,,,,
Nature,,Nature,自然度,,,,,,,,,
Item,,Item,アイテム,,,,,,,,,
Common,,Common,ふつう,,,,,,,,,
Uncommon,,Uncommon,いいかんじ,,,,,,,,,
Rare,,Rare,レア,,,,,,,,,
milestone_00,,Welcome,ようこそ,,,,,,,,,
milestone_01,,Welcome1,ようこそ1,,,,,,,,,
milestone_02,,Welcome2,ようこそ2,,,,,,,,,
milestone_03,,Welcome3,ようこそ3,,,,,,,,,
milestone_04,,Welcome4,ようこそ4,,,,,,,,,
milestone_05,,Welcome5,ようこそ5,,,,,,,,,
milestone_06,,Welcome6,ようこそ6,,,,,,,,,
milestone_07,,Welcome7,ようこそ7,,,,,,,,,
milestone_08,,Welcome8,ようこそ8,,,,,,,,,
milestone_99,,Welcome9,ようこそ9,,,,,,,,,
Reward,,Reward,報酬,,,,,,,,,
,,,,,,,,,,,,
Orthographic,,Orthographic,正投影,,,,,,,,,
Perspective,,Perspective,遠近法,,,,,,,,,
FOV,,FOV,視野角,,,,,,,,,
Distance,,Distance,距離,,,,,,,,,
Depth of Field,,Depth of Field,被写界深度,,,,,,,,,
Focus Distance,,Focus Distance,焦点距離,,,,,,,,,
Focal Length,,Focal Length,レンズ焦点距離,,,,,,,,,
Aperture,,Aperture,絞り,,,,,,,,,
Screenshot,,Screenshot,スクリーンショット,,,,,,,,,
Emote,,Emote,エモート,,,,,,,,,
Eye,,Eye,目,,,,,,,,,
Mouth,,Mouth,口,,,,,,,,,
,,,,,,,,,,,,
Hair,,Hair,髪,,,,,,,,,
Back,,Back,もどる,,,,,,,,,
,,,,,,,,,,,,
Player Reset,,Player Reset,プレイヤーリセット,,,,,,,,,
,,,,,,,,,,,,
Inventory,,Inventory,インベントリ,,,,,,,,,
Furniture,,Furniture,家具,家具,傢俱,Meuble,Möbel,Mobili,Móveis,Mueble,,
Material,,Material,そざい,材料,材料,Matériau,Material,Materiale,Material,Material,,
Craft!,,Craft!,クラフト,工艺！,工藝！,Artisanat !,Handwerk!,Artigianato!,Artesanato!,Artesanía!,,
Craftable,,Craftable,クラフト可能,,,,,,,,,
Rarity,,Rarity,レアリティ,稀有,稀有,Rareté,Seltenheit,Rarità,Raridade,Rareza,,
RequiredMaterials,,RequiredMaterials,必要マテリアル,,,,,,,,,
DropMaterials,,DropMaterials,ドロップマテリアル,,,,,,,,,
Sell,,Sell,売却,卖,賣,Vendre,Verkaufen,Vendere,Vender,Vender,,
Buy,,Buy,購入,,,,,,,,,
,,,,,,,,,,,,
Building,,Building,建物,,,,,,,,,
Furniture,,Furniture,家具,,,,,,,,,
Plant,,Plant,植物,,,,,,,,,
Save,,Save,セーブ,,,,,,,,,
Load,,Load,ロード,,,,,,,,,
Main 1,,Main 1,メイン 1,,,,,,,,,
Main 2,,Main 2,メイン 2,,,,,,,,,
Sub 1,,Sub 1,サブ 1,,,,,,,,,
Sub 2,,Sub 2,サブ 2,,,,,,,,,
Accent 1,,Accent 1,アクセント 1,,,,,,,,,
Accent 2,,Accent 2,アクセント 2,,,,,,,,,
Original,,Original,オリジナル,,,,,,,,,
90s Pop,,90s Pop,90s Pop,,,,,,,,,
Chocolate,,Chocolate,チョコレート,,,,,,,,,
Matcha,,Matcha,抹茶,,,,,,,,,
Custom 1,,Custom 1,カスタム 1,,,,,,,,,
Custom 2,,Custom 2,カスタム 2,,,,,,,,,
Auto open,,Auto open,自動オープン,,,,,,,,,
DEMODesc,,The demo is Creative Mode only. Take lots of screenshots and share them on social media!,"DEMO版はクリエイティブモードのみです
たくさんスクショをとってSNSにアップしてね！！！",,,,,,,,,
DescriptionText,,DescriptionText,説明文,,,,,,,,,
ItemName,,ItemName,アイテム名,,,,,,,,,
WASD,,Move,移動,,,,,,,,,
Add to Wishlist,,Add to Wishlist,今すぐウィッシュリストに追加！,,,,,,,,,
Touch,,Touch,ふれる,,,,,,,,,
Custom 3,,Custom 3,カスタム 3,,,,,,,,,
Custom 4,,Custom 4,カスタム 4,,,,,,,,,
Custom 5,,Custom 5,カスタム 5,,,,,,,,,
Room,,Room,部屋,,,,,,,,,
Price,,Price,価格,,,,,,,,,
RewardItem,,RewardItem,報酬アイテム,,,,,,,,,
RewardMoney,,RewardMoney,報酬金,,,,,,,,,
ControlGuide,,ControlGuide,操作説明,,,,,,,,,
